"id";"brand_name";"Title";"Rating";"rating_count";"reviews";"Current Price";"Original Price";"Discount";"Processor";"ram_capacity";"Operating System";"StorageCapacity";"Screen Size"
526;"MSI";"MSI Stealth 16 Studio Intel Core i7 13th Gen 13700H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...";0.0;0;0;234990;335990;"30";"Intel Core i7 Processor (13th Gen)";32;"Windows 11";"1024 ";"40.64 cm (16 Inch)"
527;"Apple";"Apple MacBook Air Apple M3 - (8 GB/256 GB SSD/macOS Sonoma) MRYM3HN/A";4.5;211;21115;126890;134900;"5";"Apple M3 Processor";8;"macOS";"256";"38.1 cm (15 Inch)"
528;"ASUS";"ASUS ROG Strix G17 AMD Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA...";4.8;21;211;138911;187990;"26";"AMD Ryzen 9 Octa Core Processor";16;"Windows 10";"1024 ";"43.94 cm (17.3 inch)"
529;"DELL";"DELL Vostro AMD Ryzen 3 Dual Core R3-3250U - (8 GB/1 TB HDD/Windows 11 Home) Vostro 3405 Thin and Ligh...";3.8;513;51359;33571;50651;"33";"Processor: AMD Ryzen 3-3250U (2.60 GHz up to 3.50 GHz)";0;"Windows 11";"Unknown";"Unknown"
530;"Lenovo";"Lenovo Legion Pro 7 Intel Core i9 13th Gen 13900HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NV...";0.0;0;0;274990;419890;"34";"Intel Core i9 Processor (13th Gen)";32;"Windows 11";"1024 ";"40.64 cm (16 inch)"
531;"HP";"HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...";4.3;1752;1752126;57990;86663;"33";"Intel Core i5 Processor (12th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
532;"HP";"HP VICTUS 15 (2024) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...";4.4;216;21625;67680;88646;"23";"Intel Core i5 Processor (12th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 inch)"
533;"Lenovo";"Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin an...";3.9;55;555;59990;81990;"26";"Intel Core i7 Processor (12th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
534;"DELL";"DELL Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530 Thin and Light Lapto...";2.6;5;50;51990;68890;"24";"Intel Core i5 Processor (13th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
535;"HP";"HP 15s (2023) Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0013TU Thin and L...";4.2;309;30928;57299;76200;"24";"Intel Core i5 Processor (13th Gen)";16;"Windows 11";"512";"39.62 cm (15.6 inch)"
536;"MSI";"MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...";0.0;0;0;99990;111990;"10";"AMD Ryzen 7 Octa Core Processor";16;"Windows 11";"1024 ";"39.62 cm (15.6 Inch)"
537;"HP";"HP Pavilion 15 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) 15-eh3101AU Thin and L...";0.0;0;0;64990;75794;"14";"AMD Ryzen 7 Octa Core Processor";16;"Windows 11";"512";"39.62 cm (15.6 Inch)"
538;"ASUS";"ASUS Vivobook S 15 OLED (2024) - AI Powered, Intel EVO H-Series, Intel Core Ultra 7 155H - (16 GB/1 TB...";4.8;6;62;111990;122990;"8";"Intel Core Ultra 7 Processor";0;"Windows 11";"1024 ";"39.62 cm (15.6 Inch)"
539;"ASUS";"ASUS ExpertBook B15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) B1502CBA-NJ1090WS...";4.2;52;525;36990;50990;"27";"Intel Core i3 Processor (12th Gen)";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
540;"Acer";"Acer Extensa Intel Core i3 12th Gen N305 - (8 GB/256 GB SSD/Windows 11 Home) EX215-33 Thin and Light L...";4.2;1065;1065109;31490;44999;"30";"Intel Core i3 Processor (12th Gen)";8;"Windows 11";"256";"39.62 cm (15.6 Inch)"
541;"Lenovo";"Lenovo Lenovo Legion 9 2023 Intel Core i9 13th Gen 13980HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Gra...";0.0;0;0;449990;629890;"28";"Intel Core i9 Processor (13th Gen)";32;"Windows 11";"2048 ";"40.64 cm (16 inch)"
542;"Lenovo";"Lenovo IdeaPad Slim 5 WUXGA-OLED Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 14...";4.1;107;10712;81190;127590;"36";"Intel Core i7 Processor (13th Gen)";16;"Windows 11";"512";"35.56 cm (14 Inch)"
543;"ASUS";"ASUS ExpertBook B9 Intel Core i7 10th Gen 10510U - (16 GB/1 TB SSD/Windows 10 Pro) ExpertBook B9 B9450...";3.0;3;31;98063;202990;"51";"Intel Core i7 Processor (10th Gen)";16;"Windows 10";"1024 ";"35.56 cm (14 inch)"
544;"DELL";"DELL Intel Core i7 12th Gen 1260P - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Vostro 5620 Lapto...";4.3;8;80;86990;103588;"16";"Intel Core i7 Processor (12th Gen)";16;"Windows 11";"512";"40.64 cm (16 Inch)"
545;"Lenovo";"Lenovo V15 Series AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light L...";3.8;11;110;33800;57600;"41";"AMD Ryzen 5 Quad Core Processor";8;"Windows 11";"512";"39.62 cm (15.6 Inch)"
